"Begin Time","SERVER","DISTRICT","GROUP","SYSTEM","CELL","CARRIER","BS","WiMAX: Integration Measurement.Number of Successful Controlled Handover","WiMAX: Integration Measurement.Number of Successful Uncontrolled Handover","WiMAX: Integration Measurement.Number of Successful Initial Network Entry DHCP","WiMAX: Integration Measurement.Number of Abnormal Releases by BS"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2153]DH17254","1","0","1","0","0","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2153]DH17254","2","0","2","66","3","64","2"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2155]DH17278","0","0","0","33","9","66","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2155]DH17278","1","0","1","0","0","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2155]DH17278","2","0","2","62","13","54","4"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2158]DH17195","0","0","0","99","0","56","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2158]DH17195","1","0","1","907","11","718","24"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2158]DH17195","2","0","2","56","6","37","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2159]DH17245","0","0","0","3","1","37","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2159]DH17245","1","0","1","0","0","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2159]DH17245","2","0","2","126","6","55","2"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2161]DH17068","0","0","0","0","0","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2161]DH17068","1","0","1","100","12","73","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2161]DH17068","2","0","2","120","11","141","3"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2162]DH17074","0","0","0","112","0","66","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2162]DH17074","1","0","1","4","0","60","15"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2162]DH17074","2","0","2","30","5","70","2"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2163]DH17075","0","0","0","608","32","85","2"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2163]DH17075","1","0","1","470","10","45","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2163]DH17075","2","0","2","93","16","58","5"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2165]DH17186","0","0","0","41","0","54","2"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2165]DH17186","1","0","1","39","15","53","3"
